ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774903390.000000000,405289888.000000000,0.994504706,-0.097867886,0.036919020,0.000000000,-0.098388012,-0.995059438,0.012540349,0.000000000,0.035510005,-0.016104135,-0.999239559,0.000000000,0.445497874,-0.002767132,0.204303591,1.000000000
1774903390.000000000,438920974.000000000,0.994504220,-0.097869361,0.036928188,0.000000000,-0.098389564,-0.995059310,0.012538314,0.000000000,0.035519304,-0.016103064,-0.999239246,0.000000000,0.445501521,-0.002767230,0.204306527,1.000000000
1774903390.000000000,472846031.000000000,0.994504646,-0.097866717,0.036923736,0.000000000,-0.098386901,-0.995059554,0.012539861,0.000000000,0.035514765,-0.016104072,-0.999239391,0.000000000,0.445499775,-0.002767391,0.204304649,1.000000000
1774903390.000000000,506997108.000000000,0.994503853,-0.097870079,0.036936183,0.000000000,-0.098390386,-0.995059238,0.012537624,0.000000000,0.035527316,-0.016103191,-0.999238959,0.000000000,0.445502684,-0.002765870,0.204309470,1.000000000
1774903390.000000000,540501356.000000000,0.994504125,-0.097874375,0.036917468,0.000000000,-0.098394289,-0.995058886,0.012534960,0.000000000,0.035508887,-0.016098847,-0.999239684,0.000000000,0.445499518,-0.002769043,0.204301947,1.000000000
1774903390.000000000,574950933.000000000,0.994502677,-0.097889787,0.036915617,0.000000000,-0.098409769,-0.995057323,0.012537502,0.000000000,0.035506545,-0.016101747,-0.999239720,0.000000000,0.445497280,-0.002776801,0.204300791,1.000000000
1774903390.000000000,609045505.000000000,0.994507258,-0.097839107,0.036926545,0.000000000,-0.098359376,-0.995062256,0.012541389,0.000000000,0.035517857,-0.016104885,-0.999239268,0.000000000,0.445499800,-0.002754478,0.204306116,1.000000000
1774903390.000000000,642785549.000000000,0.994507448,-0.097840567,0.036917547,0.000000000,-0.098360584,-0.995062175,0.012538359,0.000000000,0.035509179,-0.016101032,-0.999239638,0.000000000,0.445499108,-0.002755536,0.204301787,1.000000000
1774903390.000000000,676631450.000000000,0.994501640,-0.097903203,0.036907968,0.000000000,-0.098422930,-0.995056071,0.012533558,0.000000000,0.035499106,-0.016097545,-0.999240053,0.000000000,0.445496821,-0.002782376,0.204297756,1.000000000
1774903390.000000000,710703134.000000000,0.994504184,-0.097872616,0.036920532,0.000000000,-0.098392617,-0.995059037,0.012536070,0.000000000,0.035511855,-0.016100192,-0.999239557,0.000000000,0.445499750,-0.002769061,0.204303047,1.000000000
1774903390.000000000,744474887.000000000,0.994509488,-0.097819358,0.036918797,0.000000000,-0.098339518,-0.995064209,0.012542167,0.000000000,0.035510391,-0.016104190,-0.999239544,0.000000000,0.445499847,-0.002745369,0.204302263,1.000000000
1774903390.000000000,778447151.000000000,0.994505097,-0.097868806,0.036906036,0.000000000,-0.098388500,-0.995059469,0.012534075,0.000000000,0.035497689,-0.016096641,-0.999240117,0.000000000,0.445497225,-0.002767326,0.204297308,1.000000000
1774903390.000000000,812243223.000000000,0.994501263,-0.097904620,0.036914373,0.000000000,-0.098424453,-0.995055919,0.012533628,0.000000000,0.035505449,-0.016098296,-0.999239815,0.000000000,0.445499131,-0.002782274,0.204300385,1.000000000
1774903390.000000000,846211671.000000000,0.994508781,-0.097826906,0.036917859,0.000000000,-0.098346962,-0.995063507,0.012539533,0.000000000,0.035509594,-0.016101745,-0.999239612,0.000000000,0.445498847,-0.002748527,0.204301799,1.000000000
1774903390.000000000,880326509.000000000,0.994507339,-0.097845485,0.036907453,0.000000000,-0.098365297,-0.995061725,0.012537101,0.000000000,0.035499178,-0.016098962,-0.999240027,0.000000000,0.445497004,-0.002755563,0.204297067,1.000000000
1774903390.000000000,914615631.000000000,0.994501007,-0.097910595,0.036905423,0.000000000,-0.098430292,-0.995055340,0.012533746,0.000000000,0.035496435,-0.016097745,-0.999240144,0.000000000,0.445496503,-0.002786135,0.204296364,1.000000000
1774903390.000000000,948267221.000000000,0.994506300,-0.097852213,0.036917631,0.000000000,-0.098372188,-0.995061045,0.012536981,0.000000000,0.035509209,-0.016100085,-0.999239653,0.000000000,0.445499241,-0.002759254,0.204301973,1.000000000
1774903390.000000000,981922864.000000000,0.994510288,-0.097814362,0.036910481,0.000000000,-0.098334331,-0.995064741,0.012540622,0.000000000,0.035502349,-0.016101655,-0.999239871,0.000000000,0.445497871,-0.002743242,0.204298755,1.000000000
1774903391.000000000,16369342.000000000,0.994502454,-0.097895029,0.036907703,0.000000000,-0.098414756,-0.995056876,0.012533821,0.000000000,0.035498948,-0.016097488,-0.999240059,0.000000000,0.445496845,-0.002778855,0.204297346,1.000000000
1774903391.000000000,50383090.000000000,0.994504627,-0.097871163,0.036912453,0.000000000,-0.098391038,-0.995059191,0.012536212,0.000000000,0.035503826,-0.016099485,-0.999239854,0.000000000,0.445498539,-0.002766072,0.204299695,1.000000000
