ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774902490.000000000,533969163.000000000,0.988333901,-0.147224499,0.038752993,0.000000000,-0.149394472,-0.986896761,0.060801493,0.000000000,0.029294298,-0.065882928,-0.997397255,0.000000000,0.340996753,-0.007601647,0.286426250,1.000000000
1774902490.000000000,567465543.000000000,0.988333067,-0.147228231,0.038760069,0.000000000,-0.149398666,-0.986896124,0.060801525,0.000000000,0.029301025,-0.065884129,-0.997396978,0.000000000,0.340997405,-0.007602101,0.286429210,1.000000000
1774902490.000000000,602028131.000000000,0.988334481,-0.147219463,0.038757316,0.000000000,-0.149389748,-0.986897434,0.060802180,0.000000000,0.029298795,-0.065884106,-0.997397045,0.000000000,0.340997302,-0.007601587,0.286428402,1.000000000
1774902490.000000000,635245323.000000000,0.988333641,-0.147222669,0.038766577,0.000000000,-0.149393547,-0.986896888,0.060801712,0.000000000,0.029307788,-0.065885122,-0.997396714,0.000000000,0.340998222,-0.007602526,0.286431757,1.000000000
1774902490.000000000,669527530.000000000,0.988334350,-0.147220468,0.038756851,0.000000000,-0.149390636,-0.986897479,0.060799264,0.000000000,0.029298706,-0.065881180,-0.997397241,0.000000000,0.340996958,-0.007601562,0.286427751,1.000000000
1774902490.000000000,703447103.000000000,0.988334410,-0.147220321,0.038755883,0.000000000,-0.149390509,-0.986897322,0.060802129,0.000000000,0.029297332,-0.065883866,-0.997397104,0.000000000,0.340997167,-0.007601249,0.286428004,1.000000000
1774902490.000000000,737097740.000000000,0.988333113,-0.147227516,0.038761632,0.000000000,-0.149398034,-0.986896263,0.060800824,0.000000000,0.029302720,-0.065883648,-0.997396960,0.000000000,0.340997897,-0.007602381,0.286429707,1.000000000
1774902490.000000000,771532297.000000000,0.988334338,-0.147219554,0.038760623,0.000000000,-0.149390050,-0.986897404,0.060801917,0.000000000,0.029302092,-0.065884342,-0.997396932,0.000000000,0.340997337,-0.007602118,0.286429767,1.000000000
1774902490.000000000,805006265.000000000,0.988333992,-0.147223208,0.038755581,0.000000000,-0.149393348,-0.986896944,0.060801288,0.000000000,0.029296968,-0.065883074,-0.997397167,0.000000000,0.340996218,-0.007602827,0.286428050,1.000000000
1774902490.000000000,839323043.000000000,0.988334210,-0.147221212,0.038757582,0.000000000,-0.149391520,-0.986897149,0.060802457,0.000000000,0.029298900,-0.065884471,-0.997397018,0.000000000,0.340996460,-0.007601618,0.286427638,1.000000000
1774902490.000000000,873512506.000000000,0.988333160,-0.147226991,0.038762418,0.000000000,-0.149397548,-0.986896367,0.060800336,0.000000000,0.029303603,-0.065883267,-0.997396959,0.000000000,0.340998161,-0.007602373,0.286430103,1.000000000
1774902490.000000000,907246351.000000000,0.988334839,-0.147216927,0.038757824,0.000000000,-0.149387265,-0.986897777,0.060802708,0.000000000,0.029299387,-0.065884628,-0.997396993,0.000000000,0.340997840,-0.007601538,0.286428830,1.000000000
1774902490.000000000,942042827.000000000,0.988333857,-0.147222383,0.038762160,0.000000000,-0.149392939,-0.986897043,0.060800684,0.000000000,0.029303603,-0.065883436,-0.997396948,0.000000000,0.340996534,-0.007601982,0.286429431,1.000000000
1774902490.000000000,975444316.000000000,0.988333343,-0.147226079,0.038761203,0.000000000,-0.149396526,-0.986896585,0.060799300,0.000000000,0.029302621,-0.065882033,-0.997397069,0.000000000,0.340998374,-0.007602929,0.286430358,1.000000000
1774902491.000000000,9349822.000000000,0.988334880,-0.147216960,0.038756666,0.000000000,-0.149387205,-0.986897822,0.060802134,0.000000000,0.029298328,-0.065883889,-0.997397073,0.000000000,0.340997790,-0.007601428,0.286428464,1.000000000
1774902491.000000000,43252944.000000000,0.988333849,-0.147222505,0.038761895,0.000000000,-0.149393041,-0.986897034,0.060800573,0.000000000,0.029303350,-0.065883290,-0.997396965,0.000000000,0.340998173,-0.007601110,0.286429910,1.000000000
1774902491.000000000,77675104.000000000,0.988333625,-0.147224521,0.038759935,0.000000000,-0.149394910,-0.986896782,0.060800079,0.000000000,0.029301357,-0.065882568,-0.997397071,0.000000000,0.340997859,-0.007602590,0.286429270,1.000000000
1774902491.000000000,111093044.000000000,0.988334267,-0.147221843,0.038753741,0.000000000,-0.149391885,-0.986897117,0.060802064,0.000000000,0.029295127,-0.065883526,-0.997397191,0.000000000,0.340996311,-0.007602142,0.286426874,1.000000000
1774902491.000000000,145190715.000000000,0.988333290,-0.147226128,0.038762389,0.000000000,-0.149396712,-0.986896435,0.060801280,0.000000000,0.029303491,-0.065884171,-0.997396903,0.000000000,0.340997062,-0.007602069,0.286429610,1.000000000
1774902491.000000000,179290533.000000000,0.988334321,-0.147220967,0.038755679,0.000000000,-0.149391104,-0.986897310,0.060800855,0.000000000,0.029297278,-0.065882594,-0.997397189,0.000000000,0.340997121,-0.007601614,0.286428068,1.000000000
1774902491.000000000,213556766.000000000,0.988335606,-0.147211528,0.038758777,0.000000000,-0.149381957,-0.986898539,0.060803388,0.000000000,0.029300585,-0.065885284,-0.997396915,0.000000000,0.340997401,-0.007600850,0.286428988,1.000000000
1774902491.000000000,247178554.000000000,0.988334244,-0.147219752,0.038762270,0.000000000,-0.149390318,-0.986897442,0.060800646,0.000000000,0.029303893,-0.065883337,-0.997396946,0.000000000,0.340997235,-0.007602998,0.286430343,1.000000000
